tweet,sentiment,
@Namaku_Mei Secara pribadi saya mengakui mayoritas mereka pada berfikir realistis....bahwa vaksin itu sangat perlu karena covid ini memang mengancam kehidupan manusia..nah kalau di masyarakat +62 yang menolak nggak tahu deh alasannya apa..setahu saya vaksin itu pelindung..covid itu pembunuh.,pos,
Tangan Dokter yang Suntik Vaksin Covid-19 ke Presiden Jokowi Gemetar: Ya Menyuntik Orang Pertama    https://t.co/4DlorJ7kcK,netral,
"Bakal Disuntik Vaksin Covid Perdana di Batam, Ini Kata Wawako Amsakar   https://t.co/a6Qfmvjh0W",netral,
"@bebesushi @kopiganja Nope. Vitamin tdk berpengaruh dalam pembentukan antibody. Antibody =/= imun. Antibody hanya bisa didapatkan dgn vaksin atau udah pernah kena... Dan masalah masker, mau covid test tiap hari, mau antibody udah terbentuk, mau vaksin-nya 100% efikasi tetap harus pakai masker",netral,
"@TrinityTraveler Padahal upaya untuk mencapai tawakkal adalah ikhtiar alias usaha, usaha melindungi diri dari covid ya dengan vaksin dan protokol lainnya, baru setelah itu tawakkal  cape dah ni sm hamba Allah males belajar gini",neg,
"@diavoloross0 @novaladitiara93 @TetehMumu08 @GPrimasatya @sherinasinna Minimal tunggu 2 minggu sampai antibodinya terbentuk. Tetap pake masker sampai yakin orang2 di sekitar juga sudah vaksin atau pernah terpapar Covid. New normalnya bertahap, sambil waspada takut muncul virus strain baru.",netral,
Peluncuran Vaksin dan Langkah Penanggulangan Covid Bawa Saham Eropa Sedikit Naik  https://t.co/HhiqYOfRfE,netral,
"@jokowi Insyaallah saya siap di vaksin tapi yg suntik bapak prof.dr.abdul Muthalib,SP.pd-khom.jadi biar sama kedudukan kita mata covid 19.",pos,
"@lucywiryono Yang saya takutkan, karena pemerintah punya campaign yang agak meng-glorify vaksin Covid-19, nanti message yg nyampe ke masyarakat adalah vaksin = silver bullet. Yang ada malah lonjakan kasus makin tinggi, bisnis makin ancur. ",neg,
"Salut terhadap Pemerintah Indonesia dan Presiden Joko Widodo, secara gagah dan kepercayaan tinggi menerima vaksin untuk mencegah Covid 19. Sekarang sudah terbukti Presiden RI menjadi orang pertama yang menerima vaksin covid 19, kita jangan ragu untuk menerima vaksin covid 19.",pos,
Vaksin yang disediakan oleh pemerintah secara cuma-cuma ini ternyata memilki 2 cara untuk mengetahuinya. Pemerintah menggratiskan Vaksin COVID-19 dan meminta masyarakat untuk mengecek apakah sudah termasuk sebagai penerima vaksin itu. Berikut cara pengecekkannya:  https://t.co/MCWxBMdkQp,netral,
"Salah satu kesalahpahaman yang sangat mungkin terjadi setelah era vaksin covid ini adalah bahwa ""saya bebas bisa aktivitas normal lagi tanpa harus jaga jarak dan pakai masker"".  Oke semoga curahan hati saya yang sudah saya sederhanakan ini membantu:",neg,
"Satgas COVID-19 tunda distribusi vaksin ke 10 daerah di Maluku Rabu, 13 Januari 2021 19:37 WIB  https://t.co/331E6Soevg",neg,
"Vaksin COVID-19 ini bukan silver bullet yg akan bikin keadaan lgs jd spt dulu. Meskipun udh dpt vaksinasi, tetep aja kita perlu melakukan prokes. Bukan pritikil kisihitin.",neg,
"@ernestprakasa Abis vaksin raffi kerumunan dan pake masker, Satgas covid titip mata. Panutan bagus.",neg,
@Sayangannak @thalibdluffy @__Dwalin__ @firdzaradiany Di vaksin itu di suntikkan virus yang dilemahkan. Artinya si rafi itu sedang bawa virus covid di badannya!!!,neg,
5 Pesan Jokowi Usai Disuntik Vaksin Covid-19 Buatan Sinovac  https://t.co/bZRSiQhB3a  https://t.co/61tihbeONv,netral,
Seorang WNI bernama Andika Rahmawati membagikan pengalamannya disuntik vaksin COVID-19 di Abu Dhabi. Ia mengungkap efek samping vaksin COVID-19 yang dialaminya.  https://t.co/WeO0CeiS9B,netral,
"Njagane rapet temen ya Hindari Kesalahan, Kebumen Gelar Simulasi Distribusi Vaksin Covid-19 #IniKebumen #simulasidistribusi #vaksincovid19 @ini_net  https://t.co/wLcyvDvn1Y",netral,
"Serius, jadi vaksin ini bikin kebal atau mengurangi resiko terkena covid?",netral,
"Kalau vaksin mulai beredar luas, berarti harusnya ada jenis data baru dong ya: Jumlah orang yang tetap kena/positif Covid after divaksin.  Secara teknis berarti sebelum swab mesti ditanya “apakah sudah pernah divaksin sebelumnya?” “Apa jenis vaksinnya?” “Kapan divaksin nya?”  ",netral,
"Aja dicolong lik Hindari Kesalahan, Kebumen Gelar Simulasi Distribusi Vaksin Covid-19 #IniKebumen #simulasidistribusi #vaksincovid19 @ini_net  https://t.co/cmnkpzGxaL",netral,
Pemerintah Kota Bandarlampung sedang mempersiapkan tim kejadian ikutan pascaimunisasi (KIPI) guna mengantisipasi efek dari penyuntikan vaksin covid-19.   https://t.co/TFZ4Lpv8Eg,netral,
Yang Dirasakan Jokowi setelah Disuntik Vaksin Covid-19: Setelah 2 Jam Agak Pegal Dikit  https://t.co/DTV9jutWLZ  https://t.co/b9AUFSJJ2z,neg,
Pemberian Vaksin Covid-19 di Kulonprogo Mundur  https://t.co/B4vjSrscXW #beritajogja #jogja #jogjaistimewa  https://t.co/UFItM5gpxF,neg,
"Meski belum bisa disuntik vaksin covid-19, Ariza sapaan akrab Ahmad Riza Patria mengaku pada prinsipnya dia dan Anies siap apabila dimungkinkan untuk menjalani vaksinasi.   https://t.co/UUFy4bvqi7",netral,
"GUBERNUR Bangka Belitung (Babel) Erzaldi Rosman Djohan dan 39 pejabat di lingkungan Provinsi Babel, dijadwalkan menjalani vaksin covid tahap pertama pada Jum'at (15/1).     https://t.co/xlHDTJZUkV",netral,
"Alasan Anggota DPR Ribka Tjiptaning Tolak Vaksin Covid-19, Orang Dekat Megawati Murka, Ada Sanksi?   https://t.co/lx97pBGde2",neg,
Gibran Rakabuming Tak Masuk Daftar Penerima Vaksin Covid-19 Tahap Bertama: Semoga Berjalan Lancar  https://t.co/RCL1tEX0gG via @tribunnews,netral,
"Perusahaan teknologi Grab berharap pemerintah dapat memberi akses awal vaksin Covid-19 bagi mitra pengemudi, mitra merchant, serta agen GrabKios. #TempoBisnis   https://t.co/y8GXlzof2J",netral,
Isunya hari ini suntik vaksin covid dimulai di SD SD. Terus orangtua pada ngelarang anaknya pergi sekolah karna takut di vaksin. Mau marah tapi yaaaaaaa,neg,
"Hindari Kesalahan, Kebumen Gelar Simulasi Distribusi Vaksin Covid-19 #IniKebumen #simulasidistribusi #vaksincovid19  https://t.co/45fdvUnBhm",netral,
Presiden @jokowi menjadi pihak pertama yang memulai sekaligus memperoleh suntikan dosis vaksin Covid-19 perdana.  Kepastian berjalannya program vaksinasi ini diperoleh setelah Badan Pengawas Obat dan Makanan (BPOM) mengeluarkan izin penggunaan darurat  https://t.co/tsQ24VmSCK,netral,
Pemerintah dalam waktu dekat akan menerima vaksin COVID-19.  https://t.co/iGCqRRvChC,netral,
Aceh Besar Terima 5.080 Dosis Vaksin Covid-19 Sinovac  https://t.co/9ITRRHbPCT  https://t.co/mus8teZShB,pos,
"karena mixed messaging selama ini dari pemerintah tentang COVID, gw mikir pas influencer diundang buat suntik vaksin - the bare minimum they can do is to be a role model and somehow influence their followers about the urgency of the current situation.",netral,
"Namun, andai belio dikemudian hari ternyata terpapar Covid (mudah2an ga terjadi yg ini ya), alhamdulillaah juga, karena ini bisa jadi KAMPANYE KEBELUM-BERHASILAN VAKSIN SINOVAC.. ",neg,
Komisi Fatwa MUI Pusat: Vaksin Covid-19 Produksi Sinovac Halal dan Suci -  https://t.co/EzvWuj59Se  https://t.co/ARNahyXaAa,pos,
@gevi0619 @bukanakunambist @RawLoveSick @kopiganja Setelah vaksin bikin langsung kebal covid = salah. Karena tubuh butuh proses buat bikin antibodi. Dan waktunya pun bisa berminggu2 sampe lanjut ke vaksinasi vase ke 2. Mohon dicatat.,neg,
"Di TL masih ribut vaksin. Dan pagi2 buta ini, covid memakan korban lagi. Suami teman di Bandung harus berpulang. Semoga keluarga yang ditinggalkan diberi kekuatan dan kesabaran. ",neg,
@Mas_Bejo_bae @jokowi Kalo aku yg udah pernah positif covid dan tidak di vaksin lagi berarti itu jadi merugikan dong yah karena aku gapunya card vaksin?  *sekedar bertanya*,neg,
"""Juliana Jaya"" gak bikin bingkai foto siap-vaksin-Covid untuk para alumninya?",,
"Ini baru first dose, kita tunggu second dose nya. Semoga vaksin sinovac mampu mengatasi virus covid-19.",pos,
"Jelang Penyuntikan Vaksin Covid-19, Pemkot Bandung Siapkan 191 Lokasi  https://t.co/DS2o1KzaDs  https://t.co/kadAjLMLAN",netral,
Top 3: Cerita Ketua Kadin Disuntik Vaksin Covid-19  https://t.co/m56WiYX5Mz  https://t.co/7BzYqXwhkn,netral,
5 Pesan Jokowi Usai Disuntik Vaksin Covid-19 Buatan Sinovac  https://t.co/8VTU67kDz2,netral,
"PASTI #SahabatPengayoman   Audiensi Panitia HPN, Menkumham Rangkul Pers Sosialisasikan Program Vaksin Covid-19  https://t.co/GscuSfcfK9  #IndonesiaSehat #vaksincovid19 #Kemenkumham #KumhamPasti #haripersnasional #ingatpesanibu #adaptasikebiasaanbaru  https://t.co/na6SalaF0o",pos,
Pemprov NTB Mulai Salurkan 28.760 Dosis Vaksin Covid-19 ke Seluruh Kabupaten Kota  https://t.co/jRP3BkM2SB  https://t.co/GhDwoSSaby,netral,
Rakyat rame 2 tolak vaksin covid  https://t.co/3LSPDZz37l,neg,
Ini Pesan Presiden Joko Widodo Pasca Terima Dosis Pertama Vaksin Covid-19  https://t.co/gmzREZHOcl  https://t.co/c8NbaRvCpC,netral,
"TAK SADARKAH KAMU ? orang2 yg telah kehilangan keluarganya karena covid, akan rela menjual semua hartanya untuk mendapatkan vaksin agar TIDAK kehilangan nyawa orang orang yang dicintainya ? mending tolak JATAH MAKAN siang daripada kamu terima terus kamu buang, KAMI LAPAR TAU!!",neg,
"@RadioElshinta Vaksin hanya salah satu cara untuk menghadapi Covid 19 ,harus tetap memakai masker untuk menjaga kesehatan diri sendiri dan keluarga #salamsehat",netral,
"Relawan Suntik Vaksin Covid-19 Sendiri: Biar kalau Terjadi Apa-apa, Pak Pangdam dan Semuanya Aman    https://t.co/BXQpqj36ah",pos,
"Berjuang bersama, Ikhtiar bersama. Indonesia Wajib Bebas Covid Kami Siap di Vaksin Ayo #sukseskanvaksinasi  #JawaTimurBangkit @polisi_jatim  https://t.co/J7Sy1lTwkS",pos,
Yang Dirasakan Jokowi setelah Disuntik Vaksin Covid-19: Setelah 2 Jam Agak Pegal Dikit  https://t.co/HuEUciEE5B via @tribunnews,neg,
Lapis keju untuk gambarkan semua cara yang harus ditempuh untuk menekan penularan dan mengakhiri pandemi  #covid19 #vaksincovid #dirumahaja #jagajarak #pakaimasker #PSBB #ppkmpatuhi4m #ppkmpatuhiprokes #lockdown,netral,
Pemkot Medan menyatakan sebanyak 18.700 dosis vaksin diterima dengan jadwal vaksinasi Covid-19 kepada seluruh unsur Forum Koordinasi Pimpinan Daerah (Forkopimda) Kota Medan sebagai peserta pertama yang mulai diberikan pada Jumat (15/1).   https://t.co/cPyzJnN4aJ,netral,
Tangan Dokter yang Suntik Vaksin Covid-19 ke Presiden Jokowi Gemetar: Ya Menyuntik Orang Pertama  https://t.co/PriaFbZ7Q7  https://t.co/SnhPHhgCDy,netral,
"Teman2, vaksin itu butuh waktu buat bekerja ya, apalagi vaksin Covid butuh dua kali suntik. Jadi bukan berarti abis vaksin lalu lupa protokol kesehatan. Ngga gitu mainnya. Abis divaksin pertama effektivitasnya masih rendah, masih mudah terinfeksi virus yah... stay safe",pos,
"@HusinShihab @lizaariani5 @NataliusPigai2 @WagimanDeep212_ @kokokdirgantoro @FerdinandHaean3 @wisanggeni_084 @eyang_djati @Aryprasetyo85 @ProfYLH @permadiaktivis1 @GunRomli @lambe_mak Hanya di rezim ini pake vaksin covid, jaman suharto kagak ada... Catat itu ",neg,
Ini Alasannya Kenapa Pemerintah Pilih SINOVAC Buatan China untuk Vaksin Covid-19   https://t.co/F8W2kOdZgn,netral,
"Rezim hari ini kan jarang bener ngurus masalah sampe ke substansinya. Fokusnya sebatas seremonial aja, dari mulai jamu anti covid, PSBB yg nir manfaat, nah skrg urusan vaksin pake influencer. Top deh pokoknya!",neg,
Pemerintah dalam waktu dekat akan menerima vaksin COVID-19.  https://t.co/zlEAUxwLkX,pos,
"@proscratis kalo gua jelasin ntar dikira nyebar hoax wkwkk, liat aja dahh vaksin flu di korea kasusnya kek gimana  yaa tau sih itu bukan vaksin covid yg di korea, tapi ngerasa ngeri aja kalo dapet vaksin gratis",neg,
